ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,CVEGEO,luces,ndvi,zurbana,Datos,AREA,DENSIDAD,POBTOT,TOTHOG,VIVTOT,TVIVHAB,TEMPERATURA
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1075,1.50E+12,63,0.210887711,0.554232645,1,0.431164685,9643.646962,4158,1223,1474,1258,29.9644
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,108A,150130001108A,63,0.210887711,0.554232645,1,0.350116048,10225.18109,3580,1039,1195,1063,29.9644
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1094,1.50E+12,63,0.282554285,0.479667899,1,0.242068714,9241.17771,2237,647,754,672,31.3718
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1107,1.50E+12,63,0.282554285,0.479667899,1,0.273067392,14824.17938,4048,1131,1306,1144,31.3718
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1130,1.50E+12,63,0.156281383,0.792734077,1,0.448575072,4864.291698,2182,512,620,531,27.6676
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1179,1.50E+12,63,0.156281383,0.792734077,1,0.22576525,19312.09518,4360,1086,1165,1098,27.6676
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1183,1.50E+12,63,0.156281383,0.792734077,1,0.270274759,22403.12789,6055,1517,1602,1524,27.6676
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1198,1.50E+12,63,0.154016098,0.601801981,1,0.214929962,15302.65937,3289,764,814,766,28.9678
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1234,1.50E+12,63,0.154016098,0.601801981,1,0.288985272,17312.30093,5003,1177,1259,1178,28.9678
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1249,1.50E+12,63,0.154016098,0.601801981,1,0.290034146,12646.78678,3668,916,979,918,28.9678
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1268,1.50E+12,63,0.210887711,0.554232645,1,1.061872363,2983.409411,3168,1027,1166,1027,29.9644
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1272,1.50E+12,63,0.257007368,0.239909183,1,2.696172184,1316.310591,3549,977,1161,996,29.09347692
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1319,1.50E+12,63,0.182451905,0.578017313,1,0.578543305,6419.571305,3714,993,1280,1013,29.4661
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1323,1.50E+12,63,0.210887711,0.554232645,1,0.257788204,7940.627117,2047,643,804,645,29.9644
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1342,1.50E+12,63,0.154016098,0.601801981,1,0.491733872,10397.90075,5113,1249,1326,1253,28.9678
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1357,1.50E+12,63,0.282554285,0.479667899,1,0.246872771,17697.37498,4369,1094,1177,1102,31.3718
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1361,1.50E+12,63,0.233964101,0.613043766,1,0.460589028,12770.60381,5882,1486,1658,1519,31.20793333
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1376,1.50E+12,63,0.282554285,0.479667899,1,0.566060202,13111.67959,7422,1933,2280,1965,31.3718
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1395,1.50E+12,63,0.156281383,0.792734077,1,0.346456889,14486.6509,5019,1307,1383,1308,27.6676
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1408,1.50E+12,63,0.282554285,0.479667899,1,0.42367969,13835.92403,5862,1573,1736,1573,31.3718
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1427,1.50E+12,63,0.156281383,0.792734077,1,0.428392367,14710.813,6302,1514,1641,1527,27.6676
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1431,1.50E+12,63,0.156281383,0.792734077,1,0.392278427,14232.23817,5583,1304,1414,1325,27.6676
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1450,1.50E+12,63,0.156281383,0.792734077,1,0.309827829,19817.45802,6140,1543,1657,1553,27.6676
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1465,1.50E+12,63,0.282554285,0.479667899,1,0.659550973,5130.763412,3384,906,988,922,31.3718
