ENTIDAD,MUN,LOC,AGEB, LUCES , NDVI , ZURBANA , AREA , DENSIDAD , TEMPERATURA ,POBTOT,TOTHOG,VIVTOT,TVIVHAB
15,31,1,1497, 63.00 , 0.18 , 0.47 , 0.85 ," 4,290.36 ", 29.71 ,3646,787,996,789
15,31,1,150A, 63.00 , 0.18 , 0.47 , 0.52 ," 4,784.69 ", 29.71 ,2502,583,744,585
15,31,1,1514, 63.00 , 0.14 , 0.62 , 1.15 ," 4,206.11 ", 29.98 ,4835,1078,1323,1079
15,31,1,1529, 63.00 , 0.14 , 0.62 , 0.55 ," 2,947.21 ", 29.98 ,1624,374,503,374
15,31,1,1533, 63.00 , 0.18 , 0.47 , 0.44 ," 4,880.78 ", 29.71 ,2144,472,623,475
15,31,1,1548, 63.00 , 0.18 , 0.47 , 0.67 ," 5,150.07 ", 29.71 ,3449,793,1057,794
15,31,1,1552, 62.75 , 0.18 , 0.47 , 0.88 ," 2,897.41 ", 29.71 ,2557,541,711,541
15,31,1,1567, 62.00 , 0.18 , 0.47 , 0.44 ," 2,371.41 ", 29.71 ,1044,234,310,237
15,31,1,1571, 62.00 , 0.18 , 0.47 , 0.59 ," 1,810.38 ", 29.71 ,1069,235,308,240
15,31,1,1586, 54.00 , 0.18 , 0.47 , 0.39 ," 3,923.99 ", 29.71 ,1522,331,492,334
15,31,1,1590, 56.00 , 0.18 , 0.47 , 0.42 ," 2,425.39 ", 29.71 ,1016,222,270,225
15,31,1,1603, 56.00 , 0.18 , 0.47 , 0.25 ," 2,578.71 ", 29.71 ,654,135,179,137
15,31,1,1641, 55.00 , 0.18 , 0.47 , 0.41 , 747.03 , 29.71 ,308,69,97,69
15,33,1,31, 63.00 , 0.20 , 0.59 , 0.69 ," 6,661.62 ", 31.30 ,4610,1134,1271,1147
15,33,1,50, 63.00 , 0.12 , 0.75 , 0.44 ," 13,309.38 ", 32.11 ,5794,1503,1727,1560
15,33,1,65, 63.00 , 0.15 , 0.81 , 0.37 ," 9,333.45 ", 30.13 ,3429,1008,1205,1009
15,33,1,007A, 63.00 , 0.15 , 0.81 , 0.29 ," 7,322.57 ", 30.13 ,2097,563,637,564
15,33,1,99, 62.25 , 0.13 , 0.80 , 0.73 ," 3,490.84 ", 30.50 ,2561,687,826,692
15,33,1,101, 62.67 , 0.15 , 0.81 , 0.57 ," 9,098.55 ", 30.13 ,5214,1395,1561,1406
15,33,1,120, 63.00 , 0.15 , 0.81 , 0.23 ," 14,073.43 ", 30.13 ,3270,812,905,818
15,33,1,135, 63.00 , 0.15 , 0.81 , 0.31 ," 7,631.66 ", 30.13 ,2345,641,706,641
15,33,1,154, 62.00 , 0.15 , 0.81 , 0.38 ," 9,268.98 ", 30.13 ,3512,990,1293,1006
15,33,1,173, 62.00 , 0.15 , 0.81 , 0.30 ," 11,455.25 ", 30.13 ,3436,909,1040,933
15,33,1,188, 62.00 , 0.15 , 0.81 , 0.62 ," 10,571.16 ", 30.13 ,6588,1668,2270,1732
15,33,1,205, 62.00 , 0.15 , 0.81 , 0.17 ," 11,327.06 ", 30.13 ,1953,562,633,566
15,33,1,021A, 62.00 , 0.11 , 0.77 , 0.55 ," 6,216.94 ", 31.14 ,3392,914,1040,918
15,33,1,224, 62.00 , 0.11 , 0.77 , 0.73 , 4.11 , 31.14 ,3,*,1,1
15,33,1,239, 62.00 , 0.10 , 0.68 , 1.10 ," 2,959.79 ", 31.98 ,3244,791,919,826
15,33,1,243, 63.00 , 0.08 , 0.75 , 0.17 ," 10,868.07 ", 31.64 ,1833,474,565,501
15,33,1,262, 63.00 , 0.08 , 0.75 , 0.37 ," 12,273.20 ", 31.64 ,4573,1144,1317,1170
15,33,1,277, 62.00 , 0.08 , 0.75 , 0.57 ," 9,043.86 ", 31.64 ,5134,1283,1464,1315
15,33,1,328, 63.00 , 0.08 , 0.75 , 0.36 ," 11,803.40 ", 31.64 ,4297,1072,1208,1095
15,33,1,366, 62.00 , 0.08 , 0.75 , 0.19 ," 16,787.08 ", 31.64 ,3241,835,951,861
